,addr_area,addr_city,addr_county,addr_province,address,address_hashid,avatar,bonus,company_hashid,company_id,company_url_hash,created,creator,creator_name,deadline_end,deadline_start,deleted,deletor,edu_level,exp_level,finished_date,full_name,fund,hashid,id,industry,job_category,latitude,logo,longitude,pay_range_from,pay_range_to,remain_bonus,scale,seq,short_name,skills,source,source_id,status,street,street_number,summary,summary_short,title,updated,updator,url_hash,website,work_type
0,,广州,黄埔区,广东,黄埔区广州开发区科技企业加速器(开源路),b5411eb574eca1f6a44e761ba1c829da,public://avatar/2018/02-02/172823856909762926.png,0,71c5c65fb7a610c6097a408e38d8fb03,314424,42ad7f84ec,1519981380,14882,何碧靖,,,0,0,本科,5-10年,,广州小鹏汽车科技有限公司,A轮,ab2712f1480f77bc932e93a38cf5eb24,9011,移动互联网,技术#运维#运维工程师,23.150775,https://api.neituixiaowangzi.com/files/company/2017/11-30/154311777200063633.png,113.496475,15,25,0,150-500人,,小鹏汽车,,,,开放,广州开发区科技企业加速器(开源路),,"主要职责：
1、负责车联网系统的运维团队建设管理工作，包括建立发布、配置管理流程和系统
2、负责车联网系统的运维保障工作，包括建立监控体系、容灾体系、应急和演练体系等等
3、负责车联网系统的运维质量提升工作，包括控制成本，提高用户体验，提高自动化能力等等。
任职要求：
1. 大学本科及以上学历，计算机或者相关专业，招聘定级面向P5-P8，工作经验在5-10年的均可申请该职位，将根据候选人实际能力情况进行定岗定薪；
2. 精通linux操作系统，对系统性能相关问题有较深刻理解；
3. 具备很强的ownership，故障排查能力，有很好的技术敏感度和风险识别能力；
4. 良好的客户服务意识，积极主动，以结果和行动为准则
5. 熟悉TCP/IP协议、网络协议，有良好的网络、存储和计算机体系结构方面的知识；
6. 熟悉互联网产品的运维流程，有海量运营产品架构规划、调优的项目经验优先；
7. 强烈的责任心、良好的沟通和协调能力，有团队管理或大项目管理经验优先；",,车联网运维团队主管/资深工程师/专家,1519981380,0,909029d4ce,https://www.xiaopeng.com/,
1,,广州,黄埔区,广东,黄埔区广州开发区科技企业加速器(开源路),b5411eb574eca1f6a44e761ba1c829da,public://avatar/2018/02-02/172823856909762926.png,0,71c5c65fb7a610c6097a408e38d8fb03,314424,42ad7f84ec,1519981208,14882,何碧靖,,,0,0,本科,3-5年,,广州小鹏汽车科技有限公司,A轮,c167afea368f77f0a6ce4f619a6a7db5,9010,移动互联网,技术#运维#运维开发工程师,23.150775,https://api.neituixiaowangzi.com/files/company/2017/11-30/154311777200063633.png,113.496475,10,20,0,150-500人,,小鹏汽车,,,,开放,广州开发区科技企业加速器(开源路),,"岗位职责：
1、负责运维相关系统开发，提高运维工作效率；
2、自动化运维工具及平台的优化和整合；
3、应用及网络监控系统的开发；
4、集群管理系统的研究和整合；

任职要求：
1、本科或以上学历，计算机相关专业，3年以上项目开发经验；
2、熟练掌握 Java 或者 Python 语言，具备运维平台开发的主导能力；
3、熟悉常见设计模式，具备良好的面向对象编程思想；
4、能兼顾 Web 前端开发，熟悉 HTML、Javascript、CSS、Ajax、Jquery 等相关技术；
5、熟悉以下任意一项运维技术：ansible、zabbix、docker、puppet、k8s、git、cmdb等；
6、责任心强，良好的对外沟通和团队协作能力，能承受工作压力。",,运维开发高级工程师/资深工程师/专家,1519981208,0,69e80c4a24,https://www.xiaopeng.com/,
2,,北京,朝阳区,北京,朝阳区望京SOHOT2,0443974157142167dca58ac4fd3434e2,public://avatar/2018/03-02/083355964784010665.png,0,85d1e6e8ec807ae2b99ee99e9a08867c,43999,82207e7df3,1519980895,34087,刘泓,,,0,0,本科,3-5年,,北京陌陌科技有限公司,上市公司,44d3e3dced5525a235c4794128a4a7a3,9009,社交网络,技术#移动开发#Android,39.99725,https://api.neituixiaowangzi.com/files/company/2017/10-28/083826817590680738.jpg,116.48001,20,30,0,150-500人,,陌陌,,,,开放,望京SOHOT2,,"1、计算机及相关专业本科及以上学历；
2、优秀的Java技术功底，了解C/C++；
3、熟悉Android系统架构及相关技术，2年以上Android应用程序开发经验，对view的实现机制有较为深入的了解；
4、熟悉Android多媒体机制，有视频软件项目经验者优先；
5、快速的学习能力，责任心强，思路清晰，思维敏捷，良好的英文资料阅读能力；
6、能承担较大工作压力，具备良好的沟通能力和团队合作精神。",,高级Android开发工程师（视频）,1519981015,33888,5c7f214b2d,http://www.immomo.com/,
3,,北京,朝阳区,北京,朝阳区望京SOHOT2,0443974157142167dca58ac4fd3434e2,public://avatar/2018/03-02/083355964784010665.png,0,85d1e6e8ec807ae2b99ee99e9a08867c,1200,82207e7df3,1519980576,34087,刘泓,,,0,0,不限,3-5年,,北京陌陌科技有限公司,上市公司,a648ccd039c772c70213257faebf1d80,9008,社交网络,技术#移动开发#iOS,39.99725,https://api.neituixiaowangzi.com/files/company/2017/10-28/083826817590680738.jpg,116.48001,20,30,0,150-500人,,陌陌,,,,开放,望京SOHOT2,,"1、负责iOS平台客户端视频相关功能的开发；
2、负责iOS平台客户端视频相关代码维护和性能优化。

岗位要求：
1、统招大专及以上学历，具有三年以上iOS平台相关研发经验；
2、熟练使用Objective－C，熟悉iOS的内存管理机制和多线程开发，或具有良好的C/C++语言基础，了解内存和指针概念；
3、对于MVC框架或常见设计模式有自己的理解，并熟练使用，有良好的组织代码习惯
4、熟悉网络编程和多媒体应用开发，并有两年以上实际开发经验优先考虑
5、熟悉视音频处理优先考虑",,高级iOS开发工程师（视频直播）,1519980987,33888,77e901cd3e,http://www.immomo.com/,
4,,北京,朝阳区,北京,朝阳区望京SOHOT2,0443974157142167dca58ac4fd3434e2,public://avatar/2018/03-02/083355964784010665.png,0,85d1e6e8ec807ae2b99ee99e9a08867c,1200,82207e7df3,1519980494,34087,刘泓,,,0,0,不限,3-5年,,北京陌陌科技有限公司,上市公司,604ad3b2e12fb5a82d535acb277805ed,9007,社交网络,技术#后端开发#Java,39.99725,https://api.neituixiaowangzi.com/files/company/2017/10-28/083826817590680738.jpg,116.48001,20,30,0,150-500人,,陌陌,,,,开放,望京SOHOT2,,"1、负责视频通讯系统、支付系统、互动系统、推荐系统的设计、开发和优化工作；
2、深入研究业务系统的需求，完善和改进各个系统，包括缓存层、持久化层和基础业务层等；
3、针对核心业务系统的性能瓶颈或架构缺陷，提出切实有效的解决方案。

岗位要求：
1、三年以上的Java开发经验，在至少两个技术领域能够有较深入的研究
2、熟练掌握JVM内存管理、类加载机制等；熟练掌握Java系统的故障排查和性能调优技能；
3、熟练掌握Redis、MySQL、Mongo中的一种或多种，能够进行使用优化；
4、熟练掌握Kafka等分布式消息中间件的使用；
5、深入研究或参与过一些Java开源项目的优先；
6、熟悉微服务或者SOA设计理念，有实践经验的优先；",,Java开发工程师（视频直播）,1519980962,33888,9a5917b2c5,http://www.immomo.com/,
5,,北京,朝阳区,北京市,朝阳区望京SOHOT1-A座-0308,8e823d4dd551654cfb4c346c7a79656a,public://avatar/2018/03-02/121459949351808992.png,0,f0bae5858341447ec41cf82a6e8c71b4,1182,d9525c2af5,1519965206,34345,陈克昊,,,0,0,本科,3-5年,,ProChain Foundation,不需要融资,da5e7f0f3e354dff076b27ebf8b0fb8d,8983,广告营销,技术#前端开发#Web前端,39.996794,https://api.neituixiaowangzi.com/files/company/2018/03-02/122749280715634260.png,116.48105,20,40,0,15-50人,,ProChain,,,,开放,望京SOHO,T1-A座-0308,"1. 计算机或相关专业本科及以上学历； 
2. 2年以上工作经验，精通各种Web前端技术（HTML/CSS/Javascript等)，熟练跨浏览器、跨终端的开发； 
3. 深刻理解Web标准，对前端性能、可访问性、可维护性等相关知识有实际的了解和实践经验； 
4. 掌握iOS，Android等平台浏览器的特性，精通各平台浏览器兼容性解决方案，熟练无线端的性能优化； 
5. 熟悉javascript面向对象机制，能用原生javascript进行DOM编程；至少熟悉一种javascript框架，能够使用框架快速开发； 
6. 优秀的学习能力，分析和解决问题的能力和强烈的进取心。",,前端开发工程师,1519978363,34345,265b2f1700,https://chain.pro,
6,,杭州,滨江区,浙江,滨江区网商路-599号599,15f37ab0f78b96aa5c5c6ffd5798a7eb,public://avatar/2018/03-02/151728635214590765.png,0,fc9869bf4bd22d9ee41a22966b7acdc8,33339,de37ea2472,1519975650,34677,陆春红,,,0,0,本科,3-5年,,杭州网易云音乐科技有限公司,A轮,fd93ddbcee718d980fe4f24331eb2f93,9003,移动互联网,技术#测试#测试工程师,30.187795,https://api.neituixiaowangzi.com/files/company/2017/10-28/081255472005483218.png,120.190729,15,20,0,150-500人,,网易云音乐,,,,开放,网商路-599号,599,"一：岗位职责：
1.负责公司移动APP或web端测试工作；
2.制定测试计划和测试方案，并完成测试报告以及测试结果分析；
3.负责测试工具和测试手段的不断完善创新提高测试效率和质量；
4.负责对测试方案可能出现的问题进行分析和评估；
5.编写测试总结，为软件开发成果提供总结性意见；
二：任职要求：
1.全日制本科及以上学历 相关专业优先
3.熟悉主流测试方法与理论
4.能够独立完成测试计划及方案设计等工作
5.优秀的人际沟通协调技巧和执行能力，善于分析思考问题
6.具备高度的责任心、敬业精神和踏实严谨的工作作风；良好的团队协作精神，勤奋、踏实、积极进取 ",,功能测试,1519975650,0,4ee6e09ff9,http://music.163.com/,
7,,南京,鼓楼区,江苏,鼓楼区水资源科技大厦11楼,1c945ae3199cdf77b285f4eccd6a698f,public://avatar/2018/03-02/144757255847344559.png,0,e5033c57b2ec8b511024ac6df634bc03,1193,f52d06bc9e,1519975294,34636,倪倩,,,0,0,本科,3-5年,,南京中一物联科技有限公司,未融资,9d0c2b4be96fd991b6dfe95cf20f7406,9002,IT软件,技术#后端开发#Java,32.038925,https://api.neituixiaowangzi.com/files/company/2018/03-02/145028284791345985.png,118.731424,15,30,0,50-150人,,中一科技,,,,开放,水资源科技大厦,11楼,"岗位职责:
1. 负责后台服务设计和开发；
2. 负责后台数据库设计和架构；
3. 积极配合产品策划人员研究完善产品性能；
4. 负责后台核心模块代码重构和数据维护工作。
岗位要求：
1. 本科及以上学历，计算机及相关专业；
2. 3年以上Unix、Linux下JAVA开发经验，精通一门以上脚本语言（如shell、python等）；
3. 熟悉常用数据结构和算法，熟悉常用的设计模式；
4. 具备模块化、分层等系统设计思想、系统监控和调优能力；
5. 有智能硬件或高并发系统开发经验优先；
6. 有后台系统可靠性、性能、内存优化经验；
7. 熟悉MongoDB或者其他大型大数据引擎（如Hadoop、spark）经验者优先；
8. 工作有激情，具备责任心、良好的沟通技巧和团队合作精神。",,高级开发工程师,1519975440,0,75a1d43c1a,http://www.xinjingxiang.com/,
8,,杭州,拱墅区,浙江,拱墅区登云路45号,dac4be5430ac95fda094a6ade7f52c22,public://avatar/2017/12-23/130559756590231091.png,0,5a559ef43dddef742fc63c42c47357c5,12241,7e39c75e62,1519974045,598,许会元,,,0,0,本科,3-5年,,浙江诚泽金开投资管理有限公司,上市公司,94d0a63c5a5211e5091f73307c8e1a6f,8999,金融,技术#前端开发#前端开发,30.31312,https://api.neituixiaowangzi.com/files/company/2017/10-28/080737063401404917.png,120.14385,15,25,0,2000人以上,,金诚集团,,,,开放,登云路45号,,"职位描述：

1、负责PC端企业信息管理系统的前端基础架构及业务开发

2、负责移动端框架及应用组件的规划与设计

3、提升系统的整体用户体验和前端技术实力

4、进行基于h5及移动互联网技术的技术论证和发展规划

 

任职资格：

1、3年以上前端开发经验，能独立完成前端开发工作

2、精通HTML/CSS/Javascript等前端技术，能够脱离IDE手写代码

3、能熟练使用常见前端框架（jQuery，React和Vue等），并对框架源码有所了解

4、对业界最新的前端技术和实现有浓厚的兴趣及深入的见解

5、逻辑分析能力强，善于沟通，较强的学习能力，具备良好的沟通能力和团队协作精神

 

具有以下技能优先考虑：

后端开发经验(php/java/node)

数据可视化开发经验

前端脚手架开发经验",,前端开发,1519974045,0,cb2df79ef7,http://www.jcgroup.com.cn/,
9,,杭州,西湖区,浙江,西湖区阿里中心·杭州Z空间,a80e230310e8b6b0e7364760a35e8472,public://avatar/2018/02-24/195920064243252842.png,0,2a82e57a03c862678b3689b61e992e8e,196947,8d63130ef7,1519971869,19143,何万里,1520092800,1519920000,0,0,本科,3-5年,,口碑（杭州）信息技术有限公司,不需要融资,072fba70a2d041c1eeeb3fd43a348f33,8987,移动互联网,技术#前端开发#HTML5,30.26704,https://api.neituixiaowangzi.com/files/company/2017/11-30/100434755323079575.jpeg,120.10788,15,30,0,2000人以上,148,阿里口碑,,,,开放,阿里中心·杭州Z空间,,"职位描述
岗位描述：
1. 负责线下业务H5模块和其他产品前端的架构设计和开发工作； 
2. 负责插件开发，模块化框架设计与开发
3. 负责Web App及混合App的前沿技术研究和新技术调研

岗位要求：
1. 熟练运用JavaScript语言与HTML5、CSS3等技术，熟悉移动端Web绘图相关高级特性, 如canvas, webGL, CSS3动画效果等； 
2. 熟悉模块化、前端编译和构建工具，熟练运用主流的移动端JS库和开发框架，并深入理解其设计原理，例如：Zepto、React、Vue、Angular、Bootstrap等；
3. 能提供完善的WebApp和混合App（JS方向）技术方案，了解服务端（node/java或其他语言）或native移动应用开发；
4. 对技术有强烈的进取心，具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力； 
5. 熟悉Node.js Web应用开发者优先；",,高级前端开发工程师/前端专家,1519971869,0,c0c06a9bf4,,
10,,北京,朝阳区,北京,朝阳区中心岛,ca1ba17bce322eb99b464ae3af2fbab0,public://avatar/2018/02-10/182614101999368729.jpg,200000,b6ba7ff419bdb091d9af080bf58ddce3,63039,f0fb756e5b,1519871467,1266,招聘浅眠,,,0,0,本科,1-3年,,杭州远方科技有限公司,天使轮,d371c1d85c498589c401ae774821905f,8838,社交网络,技术#后端开发#Java,39.94718,https://api.neituixiaowangzi.com/files/company/2017/11-15/185326485154334293.jpeg,116.47996,12,24,0,150-500人,,远方科技,,,,开放,中心岛,,"【岗位要求】
1）精通JAVA语言，对io、多线程、集合等基础框架有深入理解；有JVM优化，性能优化经验更佳；
2）3年以上使用JAVA进行web开发的经验，熟悉主流技术架构体系，对相关技术领域的开源产品有深入的理解 ；
3）有大型分布式、高并发、高可用系统设计、开发和调优经验，例如akka集群、kafka、rocketMQ等消息中间件使用经验优先；
4）具备较强的业务分析能力，有电商领域建模，架构经验；
5）对技术与互联网有热情，不断追求技术更新；

",,Java专家,1519960797,1266,f8c5e9643c,http://www.neituilaile.com,
11,,杭州,滨江区,浙江,滨江区英飞特大厦,fe40448c0f9dcc79fda2d43fc884ff0b,public://avatar/2018/03-02/100458625551304869.png,0,459913b21c76d56b63553c1c55f93565,63,72e63d0faa,1519960223,34191,Jean,,,0,0,本科,1-3年,,杭州旦悦科技有限公司,B轮,9f0f7a17765a63b4d3e8f5fb5313799f,8976,教育培训,技术#前端开发#U3D,30.185,https://api.neituixiaowangzi.com/files/company/2017/08-08/231627019231015885.jpg,120.20181,10,15,0,500-2000人,,abc360,,,,开放,英飞特大厦,,"岗位职责：
1. 使用Unity3D引擎开发平台游戏，负责项目核心编辑器的开发和维护， 以及易用性调优；
2. 进行已有功能的维护、更新、优化。

岗位要求：
1. 1年以上Unity3D实际项目开发经验， 2年以上开发经验；
2. 熟练使用C#、C++语言；
3. 熟练掌握UGUI，ITween， Dotween等常用插件；
4. 熟练使用Unity3D编辑器，熟悉Unity3D游戏制作流程；
5. 熟悉Unity3D引擎基本架构。熟悉Unity3D渲染，物理，资源管理，性能分析等模块，对Unity3D的组件系统有着深入的理解；
6．工作认真负责，有责任感，有良好的团队合作精神，善于与别人分享沟通。
7．熟悉lua或者编辑器开发者优先",,unity开发工程师,1519960223,0,e2d1e3e525,www.abc360.com,
12,,杭州,滨江区,浙江,滨江区英飞特大厦,fe40448c0f9dcc79fda2d43fc884ff0b,public://avatar/2018/03-02/100458625551304869.png,0,459913b21c76d56b63553c1c55f93565,1174,72e63d0faa,1519956640,34191,Jean,,,0,0,本科,3-5年,,杭州旦悦科技有限公司,B轮,aac2e41425ca5a44f3f19912e68ba822,8973,教育培训,技术#后端开发#PHP,30.185,https://api.neituixiaowangzi.com/files/company/2017/08-08/231627019231015885.jpg,120.20181,10,20,0,500-2000人,,abc360,,,,开放,英飞特大厦,,"1. 负责分析设计业务功能；
2. 参与系统功能的编码工作；
3. 编写和维护开发文档。
",,PHP,1519959904,0,fd4d445141,www.abc360.com,
13,,杭州,西湖区,浙江,西湖区龙章大厦,9a332a8338674721245dc5c85e6d7a08,public://avatar/2018/02-25/001759925631271316.png,0,2d5333ebd6fb3f6f2fa2fe2d1f491918,72,6f0c12f2e6,1519916034,19240, 葛国迪,,,0,0,不限,应届生,,阿里巴巴（中国）网络技术有限公司,已上市,832b52585f1bc125fdcd290aef18a167,8963,互联网,技术#移动开发#iOS,30.2806,https://api.neituixiaowangzi.com/files/company/2017/09-26/161330189152680026.jpg,120.06106,10,20,0,2000人以上,,阿里巴巴,,,,开放,龙章大厦,,实习生，重在潜力，此次主要招技术类实习生,,iOS实习生,1519916034,0,4aaa814a3e,www.alibaba.com,
14,,杭州,拱墅区,浙江,拱墅区祥茂路99号科锐6号楼3楼,ee383d7a2d16d38221c0a8f1126f3e28,public://avatar/2018/02-28/233239527190193088.png,0,f5f0a368ed7b6a14915f9d67090a517a,12050,06e9b962ff,1519915963,30369,王佳斌,,,0,0,硕士,3-5年,,浙江执御信息技术有限公司,B轮,897396f5eba2d837d87a730acf72c248,8962,移动互联网,技术#人工智能#机器学习,30.333035,https://api.neituixiaowangzi.com/files/company/2017/10-28/080733823438418227.png,120.113035,20,40,0,2000人以上,,浙江执御,,,,开放,祥茂路99号科锐6号楼3楼,,"岗位职责

1.     深入理解电商业务，并用机器学习及大数据技术解决其中的各类难题；

2.     负责特征工程及特征提取、 灵活采用机器学习、人工智能及深度学习领域内的各类算法进行建模及实验，并通过模型调优最大化算法性能；

3.     部署机器学习算法，将机器学习落地应用到个性化、广告、仓储支付等各个领域。

 

职位要求

1      相关领域（如机器学习/信息检索/统计学/计算机等）硕士及以上学历，三年及以上的从业经验；

2      在如下的一个或多个领域内有过成功的项目经历：

a.     个性化推荐

b.     销售预测

c.     价格优化

d.     客户留存

e.     客户画像

f.      自然语言理解/搜索引擎

g.     用户信用评级

3      在机器学习/数据挖掘领域有扎实基础，熟悉包括贝叶斯理论，线性回归，决策树，SVM，随机森林，GBM等经典机器学习理论及算法，并有实战经验。熟悉算法优化及模型调优。

4      精通至少一门编程语言，包括Python/Java/C/C++等，具有扎实的编程功底。

5      具有良好的问题建模能力，能够将业务问题转化为数据问题，并建模求解。

6      学习能力强，乐于快速掌握业务场景，并不断更新专业知识。

 

加分项

1.     有过深度学习领域（包括但不限于CNN/RNN/LSTM）的学习及实战经验；

2.     熟悉Hadoop/Spark等大数据架构，有过在大数据架构上部署机器学习模型的经验；

3.     了解Scala编程；

4.     有过将机器学习相关算法应用到电商领域的成功经验。",,机器学习/数据挖掘工程师,1519915963,0,dc7ac6d157,http://www.jollycorp.com,
15,,杭州,西湖区,浙江,西湖区龙章大厦,9a332a8338674721245dc5c85e6d7a08,public://avatar/2018/02-25/001759925631271316.png,0,2d5333ebd6fb3f6f2fa2fe2d1f491918,1159,6f0c12f2e6,1519915563,19240, 葛国迪,,,0,0,不限,3-5年,,阿里巴巴（中国）网络技术有限公司,已上市,fba72861d7aa3a95bf8d0efa4d6a8d17,8956,互联网,技术#移动开发#iOS,30.2806,https://api.neituixiaowangzi.com/files/company/2017/09-26/161330189152680026.jpg,120.06106,25,50,0,2000人以上,,阿里巴巴,,,,开放,龙章大厦,,"职位描述
1.根据产品需求，高质量完成钉钉IOS客户端开发；
2.对负责模块持续进行性能和体验优化，实现极致用户体验；
3.参与钉钉IM&DING、基础通讯录、钉邮钉盘、SmartWork、开放平台、统一通讯等业务的开发；


职位要求
1. 三年及以上IOS客户端开发经验，具备以下经验优先考虑：
1）有Apple Watch开发经验
2）具备Mac开发经验
3）具备前端开发经验

2. 精通IOS平台UI相关开发，Objective-C，精通IOS平台下的多线程开发。
3. 熟悉常用设计模式／常用算法和数据结构／网络编程／SQLite编程／熟悉Swift优先。
4. 熟练使用Instrument工具，能独立解决性能内存问题。
5. 有担当、有激情、有情怀、有梦想。",,iOS无线开发专家,1519915930,19240,365b6d6ad9,www.alibaba.com,
16,,杭州,西湖区,浙江,西湖区龙章大厦,9a332a8338674721245dc5c85e6d7a08,public://avatar/2018/02-25/001759925631271316.png,0,2d5333ebd6fb3f6f2fa2fe2d1f491918,72,6f0c12f2e6,1519915869,19240, 葛国迪,,,0,0,不限,不限,,阿里巴巴（中国）网络技术有限公司,已上市,88eb1a1593965d460919411c513071db,8961,互联网,技术#后端开发#Java,30.2806,https://api.neituixiaowangzi.com/files/company/2017/09-26/161330189152680026.jpg,120.06106,25,50,0,2000人以上,,阿里巴巴,,,,开放,龙章大厦,,"职位描述
1、为钉钉未来三至五年的亿级乃至十亿级DAU平台提供稳定、高效的基础架构
2、构建全球区域化部署架构，全球化容灾，本地化访问加速以及当地业务合规支持
3、在全球范围内建设钉钉接入网络，加速海外用户访问体验
4、为钉钉区域化架构、国际化业务开发基础框架和核心组件
职位要求
1、3年以上开发经验；技术视野开阔，学习能力好，对业界新技术敏感，喜欢钻研，具有良好的学习能力并注重团队合作
2、熟悉C++、Java、移动端开发的其中之一，基础扎实，精通多线程编程，熟悉分布式，缓存，消息队列等机制
3、Java方向，熟悉JVM，包括内存模型、类加载机制以及性能优化；精通Web编程：spring mvc、orm框架、模板引擎等
4、C++方向：熟悉高性能服务端开发，熟悉C++1x者优先
5、移动端开发方向：熟悉iOS、Anroid其中之一，熟悉客户端网络模块等基础组件开发，有移动端长连接开发优先
6、熟悉网络架构设计者优先（二、三层交换和网络管理等技术）
7、熟悉英语优先，有海外工作经历优先",,无线业务开发专家/架构师,1519915910,19240,b7526941d2,www.alibaba.com,
17,,杭州,拱墅区,浙江,拱墅区祥茂路99号科锐6号楼3楼,ee383d7a2d16d38221c0a8f1126f3e28,public://avatar/2018/02-28/233239527190193088.png,0,f5f0a368ed7b6a14915f9d67090a517a,12050,06e9b962ff,1519915863,30369,王佳斌,,,0,0,本科,3-5年,,浙江执御信息技术有限公司,B轮,c5ae8c61b2f7216257d20f4047c6d476,8960,移动互联网,技术#后端开发#精准推荐,30.333035,https://api.neituixiaowangzi.com/files/company/2017/10-28/080733823438418227.png,120.113035,20,30,0,2000人以上,,浙江执御,,,,开放,祥茂路99号科锐6号楼3楼,,"职位描述

1、负责个性化推荐系统的整体规划、技术架构及算法模型设计；

2、负责个性化推荐系统核心模块及基础框架的研发，并有效衔接上下游系统；

3、负责建立并推动个性化各种标准（如效果评估、算法研发、模型等）；

 

职位要求

1、计算机、统计及数学相关专业本科学历；

2、5年以上工作经验，其中3年以上个性化推荐相关项目经验（千万用户级），精通不同推荐算法在不同应用场景的最佳应用；

3、精通数据结构及算法，并了解机器学习算法，熟悉常见深度学习平台如Caffe，Paddle，TensorFlow等；

4、熟悉Linux开发环境，具有良好的编程基础，熟练掌握C/C++/Java/Python等至少一门高级编程语言；

5、熟悉大型分布式及实时计算系统，并有实际线上应用经验；

",,资深个性化推荐工程师 ,1519915863,0,681f4a5e8f,http://www.jollycorp.com,
18,,杭州,拱墅区,浙江,拱墅区祥茂路99号科锐6号楼3楼,ee383d7a2d16d38221c0a8f1126f3e28,public://avatar/2018/02-28/233239527190193088.png,0,f5f0a368ed7b6a14915f9d67090a517a,12050,06e9b962ff,1519915757,30369,王佳斌,,,0,0,专科,1-3年,,浙江执御信息技术有限公司,B轮,f2987ad05f3b1cc8be7c9d483b23d946,8959,移动互联网,技术#测试#测试其它,30.333035,https://api.neituixiaowangzi.com/files/company/2017/10-28/080733823438418227.png,120.113035,9,15,0,2000人以上,,浙江执御,,,,开放,祥茂路99号科锐6号楼3楼,,"职位描述：
1.负责数据系统相关的功能测试机自动化测试；
2.独立构建数据统计相关测试框架；
3.开发测试相关脚本，能独立负责产品的项目测试设计、测试方案及测试执行。

职位要求：
1.本科以上学历,2年以上数据测试相关经验，熟悉SQL，熟练应用主流数据库；
2.优秀的数据处理和统计能力；
3.熟悉以下一门脚本语言Perl/Python/Shell/Ruby优先；
4.有网站统计分析、广告投放等相关领域工作经验者优先；
5.善于与人沟通，良好的团队合作精神和高度的责任感，能够承受压力，有创新精神，保证工作质量。",,数据测试工程师 ,1519915757,0,c0ca02ca55,http://www.jollycorp.com,
19,,杭州,拱墅区,浙江,拱墅区祥茂路99号科锐6号楼3楼,ee383d7a2d16d38221c0a8f1126f3e28,public://avatar/2018/02-28/233239527190193088.png,0,f5f0a368ed7b6a14915f9d67090a517a,12050,06e9b962ff,1519915697,30369,王佳斌,,,0,0,专科,1-3年,,浙江执御信息技术有限公司,B轮,d77fd15d1cf52c751229df8341ae822b,8958,移动互联网,技术#后端开发#其它,30.333035,https://api.neituixiaowangzi.com/files/company/2017/10-28/080733823438418227.png,120.113035,12,24,0,2000人以上,,浙江执御,,,,开放,祥茂路99号科锐6号楼3楼,,"职位描述： 
1、负责公司数据库日常运行和优化。 

职位要求： 
1、2年以上mysql DBA工作经验，有大型数据库维护经验； 
2、熟悉MySQL innodb 存储引擎、MySQL replication； 
3、熟悉 SQL优化.能够协助开发编写高效SQL，熟悉linux系统操作.熟悉脚本编写（shell,perl,python一种即可）； 
4、使用过数据库建模工具如 powerdesigner,erwin，精通数据库参数调优。 ",,MySQL ,1519915697,0,4a7668801d,http://www.jollycorp.com,
20,,杭州,拱墅区,浙江,拱墅区祥茂路99号科锐6号楼3楼,ee383d7a2d16d38221c0a8f1126f3e28,public://avatar/2018/02-28/233239527190193088.png,0,f5f0a368ed7b6a14915f9d67090a517a,12050,06e9b962ff,1519915622,30369,王佳斌,,,0,0,本科,3-5年,,浙江执御信息技术有限公司,B轮,9a593cd11e77e4fd7e027b91da379ee4,8957,移动互联网,技术#后端开发#Hadoop,30.333035,https://api.neituixiaowangzi.com/files/company/2017/10-28/080733823438418227.png,120.113035,15,20,0,2000人以上,,浙江执御,,,,开放,祥茂路99号科锐6号楼3楼,,"职位描述：

1、负责网站/APP端海量点击流日志的分析及处理；

2、负责全球分布式高性能计算平台的设计与实现；

3、参与个性化推荐系统算法开发。

职位要求：

1、本科以上学历，3年以上Hadoop开发经验，熟悉Map/Reduce编程框架及接口，并有实际项目经验；

2、有一定的数学基础，对常用数据分析算法有一定研究并有实战经验；掌握Shell及Javascript者更佳；

3、有网站日志处理及数据仓库相关经验者更佳；

4、熟悉任意一种开源日志系统，如：Hive、Scribe、Chukwa、Kafka、Flume更佳。

",,Hadoop开发工程师 ,1519915622,0,71027d2745,http://www.jollycorp.com,
